timestamp,trial_id,intensity,condition,phase,mental_load,quality,eda_tonic,eda_phasic,heart_rate,rmssd,heart_source,heart_peaks,resp_rate,resp_amplitude,score_rmssd_drop,score_resp_deviation,score_heart_deviation,score_eda_phasic_rise,score_eda_tonic_deviation,score_reference_source
19:48:00.458,0,0,IDLE,IDLE,0.0,limited:baseline,359.00000000000006,22.31376135477915,94.76676845319575,169.9983193194232,ecg,16,15.638575152041703,147.3202826131117,,,,,,none
19:48:00.957,0,0,IDLE,IDLE,0.0,limited:baseline,359.00000000000006,22.716413436066116,91.86351706036746,155.27989616768215,ecg,15,28.68754482428879,144.5985640953282,,,,,,none
19:48:01.461,0,0,IDLE,IDLE,0.0,limited:baseline,358.99800000000005,23.184250935587112,90.74214108242413,135.86531792692574,ecg,15,32.7242977911099,141.99721628255568,,,,,,none
19:48:01.958,0,0,IDLE,IDLE,0.0,limited:baseline,358.9610000000001,23.548968686060178,89.21933085501857,132.02505589703566,ecg,15,20.07360321177652,141.0129981813898,,,,,,none
19:48:02.458,0,0,IDLE,IDLE,0.0,limited:baseline,358.3820000000001,23.485151943537723,85.90308370044053,151.64541975718663,ecg,14,15.64673157162726,145.71004763518843,,,,,,none
19:48:02.973,0,0,IDLE,IDLE,0.0,limited:baseline,357.837,23.24361918389172,83.75389240846128,162.14730956756577,ecg,14,18.24817518248175,145.8325013186323,,,,,,none
19:48:03.453,0,0,IDLE,IDLE,0.0,limited:baseline,356.788,23.00351165510539,80.72027320707855,173.51729020475165,ecg,14,17.72918667356135,145.7239607069018,,,,,,none
19:48:03.965,0,0,IDLE,IDLE,0.0,limited:baseline,355.0020000000002,22.980760815048505,76.29543287061567,150.601219360028,ecg,13,17.397607828923523,145.72187435498105,,,,,,none
19:48:04.462,0,0,IDLE,IDLE,0.0,limited:baseline,354.59500000000014,22.8494373411163,76.30351844001696,20.89584560711443,ecg,13,17.397607828923523,137.91355619511168,,,,,,none
19:48:04.954,0,0,IDLE,IDLE,0.0,limited:baseline,354.44600000000014,22.742603329303215,77.14561234329797,20.928449536456345,ecg,13,17.966761491241204,110.25230174417626,,,,,,none
19:48:05.459,0,0,IDLE,IDLE,0.0,limited:baseline,354.3970000000001,22.762471117748145,77.7705767984446,28.51315485876649,ecg,13,20.70822116380203,87.08851610590737,,,,,,none
19:48:05.964,0,0,IDLE,IDLE,0.0,limited:baseline,354.3979999999999,22.729537941077155,77.56113325433589,27.4987603026358,ecg,13,17.15879030528348,78.29784225070034,,,,,,none
19:48:06.470,0,0,IDLE,IDLE,0.0,limited:baseline,354.4359999999999,22.7417682491549,78.90410958904111,44.33037128405106,ecg,13,17.79491362052347,76.3399767443856,,,,,,none
